"assay","treatE","cycle","strain","repO","rep","repT","lawn","cfu_w","cfu_releas","id"
"col.l4","mono","10","MYb71","5","5","2","b",160,"NA","MYb71_mono_10_2_5"
"col.l4","mono","10","MYb71","4","4","3","b",435,"NA","MYb71_mono_10_3_4"
"col.l4","mono","10","MYb71","4","4","1","b",0,"NA","MYb71_mono_10_1_4"
"col.l4","mono","10","MYb71","3","3","1","b",77.3333333333333,"NA","MYb71_mono_10_1_3"
"col.l4","mono","10","MYb71","1","1","3","b",88.8888888888889,"NA","MYb71_mono_10_3_1"
"col.l4","mono","10","MYb11","1","1","2","b",563.333333333333,"NA","MYb11_mono_10_2_1"
"col.l4","mono","10","MYb71","6","6","2","b",8242.42424242424,"NA","MYb71_mono_10_2_6"
"col.l4","mono","10","MYb11","6","6","1","b",1675,"NA","MYb11_mono_10_1_6"
"col.l4","mono","10","MYb71","5","5","1","b",0,"NA","MYb71_mono_10_1_5"
"col.l4","mono","10","MYb11","2","2","1","b",510,"NA","MYb11_mono_10_1_2"
"col.l4","mono","10","MYb71","1","1","1","b",223.333333333333,"NA","MYb71_mono_10_1_1"
"col.l4","mono","10","MYb11","3","3","1","b",28,"NA","MYb11_mono_10_1_3"
"col.l4","mono","10","MYb11","4","4","2","b",2000,"NA","MYb11_mono_10_2_4"
"col.l4","mono","10","MYb11","3","3","2","b",20.5333333333333,"NA","MYb11_mono_10_2_3"
"col.l4","mono","10","MYb11","1","1","1","b",660,"NA","MYb11_mono_10_1_1"
"col.l4","mono","10","MYb71","3","3","2","b",25.6,"NA","MYb71_mono_10_2_3"
"col.l4","mono","10","MYb11","6","6","2","b",8000,"NA","MYb11_mono_10_2_6"
"col.l4","mono","10","MYb71","6","6","1","b",1350,"NA","MYb71_mono_10_1_6"
"col.l4","mono","10","MYb71","4","4","2","b",7033.33333333333,"NA","MYb71_mono_10_2_4"
"col.l4","bi","10","MYb71","3","1","1","b",0,NA,"MYb71_bi_10_1_3"
